"","gene_names","protein","log2FC","pval","TICI_1","VEH_1","TICI_2","TICI_3","VEH_3","TICI_4","VEH_4","TICI_5","VEH_5","log2FoldChange","padj","significance","Significance","pbs_tpm","tici_tpm","TICI_abundance","VEH_abundance","log10_pbs_tpm","log10_tici_tpm"
"509","Nadk2","Q1HCL7",-0.151390075683594,0.525073964479131,12.84373,13.05525,12.0278,12.45129,12.46089,12.23053,12.34371,12.80615,12.63331,-1.12016427655155,7.03681935789161e-16,"RNA only","RNA only (n = 966)",52.0818205,22.2695356666667,12.4719,12.62329,1.716686156422,1.34771116182493
"510","Nans","Q99J77",-0.0830800056457512,0.661807938196222,16.92776,17.04313,16.21198,16.69098,16.60132,16.43047,16.40083,16.64836,16.61468,0.389222634534472,0.0323012122100592,"RNA only","RNA only (n = 966)",54.758922,59.8957786666667,16.58191,16.66499,1.73845488989914,1.7773962152712
"511","Naprt","Q6XQN1",-0.126522541046143,0.463847685288451,14.7196,14.81348,14.64555,15.14171,15.18909,14.90867,14.92435,15.23317,15.29813,-0.748974966148845,0.000354016555755928,"RNA only","RNA only (n = 966)",65.5309106666667,30.2905295,14.92974,15.0562625,1.81644620327981,1.48130686517565
"512","Nasp","Q66HD3",-0.13930082321167,0.360080634476259,16.13224,16.32669,15.86853,16.33399,16.41457,16.01613,16.07052,16.47667,16.40747,-0.525580515155599,0.0414947694745283,"RNA only","RNA only (n = 966)",18.019382,11.8529575,16.165512,16.3048125,1.25573989215957,1.0738267271963
"513","Ncald","Q5PQN0;P84076",-0.226539373397827,0.253078143256953,14.89368,15.21936,14.21637,14.95283,14.84955,14.61902,14.73698,14.91453,14.97741,-2.42846497171866,1.01915090889692e-21,"RNA only","RNA only (n = 966)",45.7389331666667,8.28321866666667,14.719286,14.945825,1.66028603072912,0.918199126344222
"514","Ncapd2","Q8K2Z4",-0.0665937423706051,0.72446023674922,11.49345,11.93225,11.10774,11.57298,11.42826,11.24811,11.13256,11.4475,11.26913,-1.20351116895574,1.92444187794341e-06,"RNA only","RNA only (n = 966)",11.4805101666667,4.23628633333333,11.373956,11.44055,1.05996118750841,0.626985306672465
"515","Ncln","Q5XIA1",-0.132971477508544,0.411091928661703,12.05664,12.39124,11.90215,12.37854,12.3379,11.95263,12.06053,12.50517,12.37832,0.307911204538581,0.0442082455191347,"RNA only","RNA only (n = 966)",103.331772166667,106.7177065,12.159026,12.2919975,2.01423387771599,2.02823648312891
"516","Ndrg2","Q8VBU2",-0.226716136932374,0.33860805430359,17.38355,17.47025,17.54132,17.86296,18.09702,17.93572,18.13526,18.12999,18.28717,-1.71102356499676,4.27449772214222e-51,"RNA only","RNA only (n = 966)",440.106994666667,117.735271333333,17.770708,17.997425,2.64355827090559,2.07090658901751
"517","Ndrg3","Q6AYR2",-0.212028551101685,0.0791151045472075,15.3035,15.51548,15.10275,15.5792,15.59386,15.23941,15.48975,15.50606,15.63376,-0.735747726306165,2.09914759989144e-06,"RNA only","RNA only (n = 966)",72.2351196666667,35.9698411666667,15.346184,15.5582125,1.85874839658793,1.55593852009284
"518","Ndufa2","Q9CQ75",-0.0657257080078129,0.534691602604452,13.92981,14.16034,13.78658,14.09556,14.03368,14.08423,14.02375,14.27598,14.18286,-0.733153045420494,6.72703124855138e-05,"RNA only","RNA only (n = 966)",279.976028666667,140.005446666667,14.034432,14.1001575,2.44712084897275,2.14614493147299
"519","Ndufaf7","Q5XI79",0.0504329681396491,0.768767318237591,12.50034,12.26945,12.12014,12.88268,12.53116,12.32682,12.28581,12.57466,12.63556,-0.688966536757624,0.0017031584707609,"RNA only","RNA only (n = 966)",19.8194908333333,12.0310618333333,12.480928,12.430495,1.29709249318084,1.08030395884498
"520","Ndufs1","Q66HF1",-0.170281410217285,0.163567502768095,18.49861,18.71519,18.25391,18.6889,18.76052,18.47738,18.58542,18.77327,18.77365,-0.429663638311894,0.0041972724930074,"RNA only","RNA only (n = 966)",106.456870833333,67.0711648333333,18.538414,18.708695,2.02717369648084,1.82653584885289
"521","Ndufs2","Q641Y2",-0.169427299499512,0.155621822925093,14.61873,14.85706,14.26825,14.69049,14.73651,14.44928,14.562,14.68464,14.69125,-0.361551542615662,0.00985484104709943,"RNA only","RNA only (n = 966)",221.079467666667,145.645841666667,14.542278,14.711705,2.34454841018101,2.1632980896022
"522","Ndufs3","Q9DCT2",-0.0992858409881592,0.328490465306434,15.88334,16.07861,15.62733,16.02989,15.9803,15.89231,15.88398,16.05875,16.04755,-0.489722839493674,0.00201318539166299,"RNA only","RNA only (n = 966)",233.362023166667,138.961047333333,15.898324,15.99761,2.36803018131041,2.14289307867863
"523","Ndufv1","Q91YT0",-0.182740497589112,0.152289561753812,17.55232,17.64794,17.45868,17.76247,17.99452,17.67425,17.80196,17.90654,17.96995,-0.35717883473916,0.0103423831560218,"RNA only","RNA only (n = 966)",316.143238833333,206.986836666667,17.670852,17.8535925,2.49988389825181,2.31594272736607
